group,option_1,option_2
A,"Он жил скромно, смирно и тихо, нам было его не слышно. Здоровье не позволяло ему ходить постоянно в университет.","Жил он скромно, смирно, тихо, нам его не слышно было. Здоровье не позволяло ему ходить постоянно в университет."
B,"Жил он скромно, смирно, тихо, нам его не слышно было. Здоровье не позволяло ему ходить постоянно в университет.","Он жил скромно, смирно и тихо, нам было его не слышно. Здоровье не позволяло ему ходить постоянно в университет."
A,"Я не знаю, что со мною сталось, в первый раз такое! Я из себя вышла, застыдила его совсем.","Я не знаю, что сталось со мною, в первый раз такое! Я из себя вышла, застыдила его совсем."
B,"Я не знаю, что сталось со мною, в первый раз такое! Я из себя вышла, застыдила его совсем.","Я не знаю, что со мною сталось, в первый раз такое! Я из себя вышла, застыдила его совсем."
A,"И кто думать мог, что она опять всплывет? Больше всего помог ей Никодим, который имеет такое громадное влияние. ","И кто мог думать, что она опять всплывет? Больше всего помог ей Никодим, который имеет такое громадное влияние. "
B,"И кто мог думать, что она опять всплывет? Больше всего помог ей Никодим, который имеет такое громадное влияние. ","И кто думать мог, что она опять всплывет? Больше всего помог ей Никодим, который имеет такое громадное влияние. "
A,"Одну и ту же пару таскает он много лет. А новая одежа кажется на нем такою же поношенною и помятою, как старая.","Одну и ту же пару он таскает много лет. А новая одежа кажется на нем такою же поношенною и помятою, как старая."
B,"Одну и ту же пару он таскает много лет. А новая одежа кажется на нем такою же поношенною и помятою, как старая.","Одну и ту же пару таскает он много лет. А новая одежа кажется на нем такою же поношенною и помятою, как старая."
A,"Ходили к нам довольно часто люди по делам. Они обыкновенно спорили, шумели, кричали.","Ходили к нам люди по делам довольно часто. Они обыкновенно спорили, шумели, кричали."
B,"Ходили к нам люди по делам довольно часто. Они обыкновенно спорили, шумели, кричали.","Ходили к нам довольно часто люди по делам. Они обыкновенно спорили, шумели, кричали."
A,"Все было хорошо, судьба моя могла перемениться. У меня были учителя музыки, танцев, истории, арифметики и чистописания.","Все хорошо было, и судьба моя могла перемениться. У меня были учителя музыки, танцев, истории, арифметики и чистописания."
B,"Все хорошо было, и судьба моя могла перемениться. У меня были учителя музыки, танцев, истории, арифметики и чистописания.","Все было хорошо, судьба моя могла перемениться. У меня были учителя музыки, танцев, истории, арифметики и чистописания."
A,"Я помню только, что очнулась я на его руках. Он бережно посадил меня в кресла и подал мне стакан воды.","Я помню только то, что я очнулась на его руках. Он бережно посадил меня в кресла и подал мне стакан воды."
B,"Я помню только то, что я очнулась на его руках. Он бережно посадил меня в кресла и подал мне стакан воды.","Я помню только, что очнулась я на его руках. Он бережно посадил меня в кресла и подал мне стакан воды."
A,"Я, конечно, об этом молчу, потому что уверена в Дарье. Но на суде молчать не буду, потому что обязана говорить всю правду.","Я, конечно, молчу об этом, потому что уверена в Дарье.  Но на суде молчать не буду, потому что обязана говорить всю правду."
B,"Я, конечно, молчу об этом, потому что уверена в Дарье.  Но на суде молчать не буду, потому что обязана говорить всю правду.","Я, конечно, об этом молчу, потому что уверена в Дарье. Но на суде молчать не буду, потому что обязана говорить всю правду."
A,"Мы кое-как устроились, помню, как у нас все суетились, хлопотали. День был такой светлый, теплый, яркий.","Кое-как мы устроились, помню, как все суетились у нас, хлопотали. День был такой светлый, теплый, яркий."
B,"Кое-как мы устроились, помню, как все суетились у нас, хлопотали. День был такой светлый, теплый, яркий.","Мы кое-как устроились, помню, как у нас все суетились, хлопотали. День был такой светлый, теплый, яркий."
A,Однако он в последнее время стал реже навещать меня. Он исчезал куда-то по целым неделям. ,Однако в последнее время он стал навещать меня реже. Он исчезал куда-то по целым неделям. 
B,Однако в последнее время он стал навещать меня реже. Он исчезал куда-то по целым неделям. ,Однако он в последнее время стал реже навещать меня. Он исчезал куда-то по целым неделям. 
A,Издержки будут оплачены немедленно вслед за хорошим известием. В конце я просил его сообщить мне подробно о ходе дела.,Издержки оплачены будут немедленно вслед за хорошим известием. В конце я просил его сообщить мне подробно о ходе дела.
B,Издержки оплачены будут немедленно вслед за хорошим известием. В конце я просил его сообщить мне подробно о ходе дела.,Издержки будут оплачены немедленно вслед за хорошим известием. В конце я просил его сообщить мне подробно о ходе дела.
A,"Это удивляет меня, — сказал я, — действительно несколько странно. Я всегда считал Екатерину кроткою.","Это меня удивляет, — сказал я, — действительно несколько странно. Я всегда считал Екатерину кроткою."
B,"Это меня удивляет, — сказал я, — действительно несколько странно. Я всегда считал Екатерину кроткою.","Это удивляет меня, — сказал я, — действительно несколько странно. Я всегда считал Екатерину кроткою."
A,"Что за квартира! Вы знаете, жил я когда-то таким глухарем на отшибе. Бывало, муха летит, так и муху слышно. ","Что за квартира! Я, вы знаете, жил когда-то на отшибе таким глухарем. Бывало, муха летит, так и муху слышно. "
B,"Что за квартира! Я, вы знаете, жил когда-то на отшибе таким глухарем. Бывало, муха летит, так и муху слышно. ","Что за квартира! Вы знаете, жил я когда-то таким глухарем на отшибе. Бывало, муха летит, так и муху слышно. "
A,"Громов лежит на постели, свернувшись калачиком, или же ходит кругами. Он всегда возбужден, взволнован каким-то смутным ожиданием. ","Громов, свернувшись калачиком, лежит на постели или ходит кругами. Он всегда возбужден, взволнован каким-то смутным ожиданием. "
B,"Громов, свернувшись калачиком, лежит на постели или ходит кругами. Он всегда возбужден, взволнован каким-то смутным ожиданием. ","Громов лежит на постели, свернувшись калачиком, или же ходит кругами. Он всегда возбужден, взволнован каким-то смутным ожиданием. "
